epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.4193,0,7.58515,0,0,0,0,0,0,4.62162,0,0,0,0
2,6.65611,0,7.52128,0,0,0,0,0,0,4.62511,0,1.9604e-05,1.9604e-05,1.9604e-05
3,7.86449,0,7.51592,0,0,0,0,0,0,4.62883,0,3.8416e-05,3.8416e-05,3.8416e-05
4,10.008,0,7.51245,0,0,0,0,0,0,4.63283,0,5.6436e-05,5.6436e-05,5.6436e-05
5,11.9888,0,7.42816,0,0,0,0,0,0,4.63714,0,7.3664e-05,7.3664e-05,7.3664e-05
6,13.5465,0,7.39929,0,0,0,0,0,0,4.64083,0,9.01e-05,9.01e-05,9.01e-05
7,14.6616,0,7.33917,0,0,0,0,0,0,4.64475,0,0.000105744,0.000105744,0.000105744
8,15.9062,0,7.31998,0,0,0,0,0,0,4.6454,0,0.000120596,0.000120596,0.000120596
9,17.0602,0,7.27317,0,0,0,0,0,0,4.64457,0,0.000134656,0.000134656,0.000134656
10,18.1461,0,7.22046,0,0,0,0,0,0,4.64303,0,0.000147924,0.000147924,0.000147924
11,19.2343,0,7.1675,0,0,0,0,0,0,4.64184,0,0.0001604,0.0001604,0.0001604
12,20.3097,0,7.11963,0,0,0,0,0,0,4.64114,0,0.000172084,0.000172084,0.000172084
13,21.4463,0,7.12729,0,0,0,0,0,0,4.63939,0,0.000182976,0.000182976,0.000182976
14,22.5487,0,7.00616,0,0,0,0,0,0,4.63947,0,0.000193076,0.000193076,0.000193076
15,23.6875,0,6.9455,0,0,0,0,0,0,4.64075,0,0.000202384,0.000202384,0.000202384
16,24.9244,0,6.93307,0,0,0,0,0,0,4.63956,0,0.0002109,0.0002109,0.0002109
17,26.0193,0,6.82133,0,0,0,0,0,0,4.6401,0,0.000218624,0.000218624,0.000218624
18,27.0508,0,6.84328,0,0,0,0,0,0,4.6401,0,0.000225556,0.000225556,0.000225556
19,28.1194,0,6.80412,0,0,0,0,0,0,4.64441,0,0.000231696,0.000231696,0.000231696
20,29.1311,0,6.72755,0,0,0,0,0,0,4.64441,0,0.000237044,0.000237044,0.000237044
21,30.1997,0,6.70273,0,0,0,0,0,0,4.64892,0,0.0002416,0.0002416,0.0002416
22,31.2636,0,6.55765,0,0,0,0,0,0,4.64892,0,0.000245364,0.000245364,0.000245364
23,32.4017,0,6.59218,0,0,0,0,0,0,4.65487,0,0.000248336,0.000248336,0.000248336
24,33.4224,0,6.53773,0,0,0,0,0,0,4.65487,0,0.000250516,0.000250516,0.000250516
25,34.4947,0,6.56063,0,0,0,0,0,0,4.65995,0,0.000251904,0.000251904,0.000251904
26,35.5651,0,6.4295,0,0,0,0,0,0,4.65995,0,0.0002525,0.0002525,0.0002525
27,36.6598,0,6.42469,0,0,0,0,0,0,4.65321,0,0.000252304,0.000252304,0.000252304
28,37.8473,0,6.41544,0,0,0,0,0,0,4.65321,0,0.000251316,0.000251316,0.000251316
29,38.9265,0,6.22861,0,0,0,0,0,0,4.64158,0,0.000249536,0.000249536,0.000249536
30,39.9595,0,6.19468,0,0,0,0,0,0,4.64158,0,0.000246964,0.000246964,0.000246964
31,41.0282,0,6.14687,0,0,0,0,0,0,4.6299,0,0.0002436,0.0002436,0.0002436
32,42.0326,0,6.11986,0,0,0,0,0,0,4.6299,0,0.000239444,0.000239444,0.000239444
33,43.3278,0,6.12599,0,0,0,0,0,0,4.61583,0,0.000234496,0.000234496,0.000234496
34,44.3405,0,5.98461,0,0,0,0,0,0,4.61583,0,0.000228756,0.000228756,0.000228756
35,45.5574,0,6.03327,0,0,0,0,0,0,4.59813,0,0.000222224,0.000222224,0.000222224
36,46.5819,0,5.95574,0,0,0,0,0,0,4.59813,0,0.0002149,0.0002149,0.0002149
37,47.6544,0,5.83251,0,0,0,0,0,0,4.58137,0,0.000206784,0.000206784,0.000206784
38,48.7953,0,5.75079,0,0,0,0,0,0,4.58137,0,0.000197876,0.000197876,0.000197876
39,49.8572,0,6.12362,0,0,0,0,0,0,4.56502,0,0.000188176,0.000188176,0.000188176
40,50.8777,0,5.8057,0,0,0,0,0,0,4.56502,0,0.000177684,0.000177684,0.000177684
41,52.0801,0,5.77785,0,0,0,0,0,0,4.53995,0,0.0001664,0.0001664,0.0001664
42,53.1172,0,5.72945,0,0,0,0,0,0,4.53995,0,0.000154324,0.000154324,0.000154324
43,54.2035,0,5.70274,0,0,0,0,0,0,4.52008,0,0.000141456,0.000141456,0.000141456
44,55.2075,0,5.69583,0,0,0,0,0,0,4.52008,0,0.000127796,0.000127796,0.000127796
45,56.5373,0,5.65913,0,0,0,0,0,0,4.51306,0,0.000113344,0.000113344,0.000113344
46,57.6541,0,5.60104,0,0,0,0,0,0,4.51306,0,9.81e-05,9.81e-05,9.81e-05
47,58.7567,0,5.54091,0,0,0,0,0,0,4.50599,0,8.2064e-05,8.2064e-05,8.2064e-05
48,59.7836,0,5.57158,0,0,0,0,0,0,4.50599,0,6.5236e-05,6.5236e-05,6.5236e-05
49,60.9122,0,5.45162,0,0,0,0,0,0,4.48999,0,4.7616e-05,4.7616e-05,4.7616e-05
50,61.9254,0,5.44646,0,0,0,0,0,0,4.48999,0,2.9204e-05,2.9204e-05,2.9204e-05
